id,week,trip,price.0,price.KB,choice
34,29,1,0,0.9,0
34,56,2,0,1.43,0
34,90,3,0,1.43,0
35,6,1,0,1.43,KB
35,8,2,0,1.43,KB
35,9,3,0,1.43,KB
35,17,4,0,1.28,KB
35,19,5,0,1.43,0
35,22,6,0,1.43,0
35,27,7,0,1.43,0
35,31,8,0,1.43,0
35,33,9,0,0.93,KB
35,39,10,0,1.43,0
35,40,11,0,1.43,0
35,47,12,0,0.98,KB
35,54,13,0,1.43,0
35,55,14,0,1.43,0
35,60,15,0,1.21,KB
35,61,16,0,1.21,KB
35,80,17,0,1.43,0
35,87,18,0,1.43,0
35,92,19,0,1.43,0
35,93,20,0,1.43,0
35,102,21,0,1.43,KB
35,106,22,0,1.43,0
35,111,23,0,1.21,0
35,112,24,0,0.88,KB
35,114,25,0,1.43,0
35,117,26,0,1.43,0
35,118,27,0,1.43,0
35,122,28,0,1.43,0
35,123,29,0,1.43,0
35,124,30,0,1.43,0
35,128,31,0,1.43,0
35,137,32,0,1.47,0
35,140,33,0,1.47,0
35,141,34,0,1.47,0
35,143,35,0,1.47,0
35,144,36,0,1.47,0
35,148,37,0,1.47,0
35,149,38,0,1.21,KB
35,152,39,0,1.47,0
35,153,40,0,1.47,0
35,154,41,0,1.47,0
36,24,1,0,1.43,0
36,45,2,0,0.89,KB
36,66,3,0,1.43,0
36,79,4,0,1.43,0
37,12,1,0,1.43,0
38,20,1,0,1.43,0
38,21,2,0,1.43,0
38,106,3,0,1.43,0
39,36,1,0,1.43,0
39,40,2,0,1.43,0
39,44,3,0,1.28,KB
39,46,4,0,1.43,KB
39,56,5,0,1.43,KB
39,60,6,0,1.21,KB
39,64,7,0,1.43,KB
39,71,8,0,1.21,KB
39,94,9,0,0.9,KB
39,106,10,0,1.43,0
39,107,11,0,1.43,KB
39,108,12,0,1.43,KB
39,111,13,0,1.21,KB
39,121,14,0,1.43,KB
39,140,15,0,1.47,KB
39,149,16,0,1.21,KB
39,150,17,0,1.42,0
39,152,18,0,1.47,0
39,153,19,0,1.47,KB
40,6,1,0,1.43,KB
40,17,2,0,1.28,0
40,42,3,0,1.43,KB
41,19,1,0,1.43,0
41,42,2,0,1.43,KB
41,96,3,0,1.43,0
41,128,4,0,1.43,0
42,26,1,0,1.43,KB
42,28,2,0,1.43,0
43,15,1,0,1.43,KB
43,58,2,0,1.43,KB
43,65,3,0,1.43,KB
43,88,4,0,1.43,KB
43,92,5,0,1.43,0
43,122,6,0,1.43,0
43,129,7,0,0.88,0
43,132,8,0,1.47,0
43,143,9,0,1.47,KB
44,45,1,0,0.89,KB
44,53,2,0,1.43,0
44,60,3,0,1.21,KB
44,63,4,0,1.43,0
45,68,1,0,1.43,0
46,41,1,0,1.43,0
47,88,1,0,1.43,0
47,98,2,0,1.41,KB
47,99,3,0,1.43,0
48,47,1,0,0.98,KB
48,109,2,0,1.43,0
48,115,3,0,1.43,KB
48,119,4,0,1.43,0
49,94,1,0,0.9,0
50,68,1,0,1.43,0
50,109,2,0,1.43,0
50,140,3,0,1.47,0
51,64,1,0,1.43,0
52,22,1,0,1.43,0
52,28,2,0,1.43,0
52,64,3,0,1.43,0
52,107,4,0,1.43,0
52,112,5,0,0.88,KB
52,120,6,0,1.43,KB
52,122,7,0,1.43,0
52,140,8,0,1.47,0
52,146,9,0,1.47,0
52,149,10,0,1.21,KB
53,46,1,0,1.43,KB
53,53,2,0,1.43,0
54,33,1,0,0.93,KB
54,41,2,0,1.43,0
54,73,3,0,1.43,0
54,109,4,0,1.43,0
54,117,5,0,1.43,0
54,129,6,0,0.88,KB
55,126,1,0,1.43,0
55,130,2,0,1.43,0
55,155,3,0,1.47,KB
55,156,4,0,1.47,KB
56,75,1,0,1.43,0
56,94,2,0,0.9,KB
57,39,1,0,1.43,0
57,59,2,0,1.21,KB
57,68,3,0,1.43,0
58,108,1,0,1.43,0
59,18,1,0,0.88,KB
59,42,2,0,1.43,0
59,59,3,0,1.21,0
60,15,1,0,1.43,0
60,21,2,0,1.43,0
61,3,1,0,1.43,0
61,22,2,0,1.43,0
61,29,3,0,0.9,0
61,63,4,0,1.43,0
61,97,5,0,1.43,0
61,103,6,0,1.43,0
61,104,7,0,1.43,0
61,111,8,0,1.21,0
61,149,9,0,1.21,KB
61,151,10,0,1.47,0
61,153,11,0,1.47,0
62,122,1,0,1.43,0
62,152,2,0,1.47,0
63,76,1,0,1.43,0
64,37,1,0,1.43,0
64,45,2,0,0.89,KB
65,70,1,0,1.21,KB
65,76,2,0,1.43,KB
65,103,3,0,1.43,KB
65,111,4,0,1.21,KB
66,63,1,0,1.43,0
66,99,2,0,1.43,0
66,107,3,0,1.43,0
66,114,4,0,1.43,0
66,128,5,0,1.43,0
66,144,6,0,1.47,0
67,60,1,0,1.21,KB
67,63,2,0,1.43,KB
67,66,3,0,1.43,KB
68,1,1,0,1.43,0
68,6,2,0,1.43,0
68,22,3,0,1.43,0
68,41,4,0,1.43,0
68,62,5,0,1.43,0
68,99,6,0,1.43,0
68,120,7,0,1.43,0
68,124,8,0,1.43,0
68,128,9,0,1.43,0
68,139,10,0,1.47,0
68,142,11,0,1.47,0
68,147,12,0,1.47,0
68,152,13,0,1.47,0
69,39,1,0,1.43,0
69,45,2,0,0.89,KB
69,60,3,0,1.21,KB
69,67,4,0,1.43,KB
69,112,5,0,0.88,KB
69,129,6,0,0.88,KB
69,136,7,0,1.47,0
69,149,8,0,1.21,KB
70,97,1,0,1.43,0
71,35,1,0,1.43,0
71,48,2,0,1.43,KB
71,77,3,0,1.43,0
71,84,4,0,1.43,0
71,94,5,0,0.9,KB
71,111,6,0,1.21,0
72,2,1,0,1.43,0
72,5,2,0,1.43,0
72,31,3,0,1.43,0
72,67,4,0,1.43,0
72,107,5,0,1.43,0
72,114,6,0,1.43,0
72,122,7,0,1.43,0
72,137,8,0,1.47,0
73,32,1,0,1.28,0
73,35,2,0,1.43,0
73,36,3,0,1.43,0
73,63,4,0,1.43,0
73,76,5,0,1.43,0
74,70,1,0,1.21,0
74,140,2,0,1.47,0
75,18,1,0,0.88,KB
76,9,1,0,1.43,0
76,21,2,0,1.43,0
76,26,3,0,1.43,0
76,38,4,0,1.43,0
76,42,5,0,1.43,0
76,96,6,0,1.43,0
76,113,7,0,1.43,0
76,118,8,0,1.43,0
76,121,9,0,1.43,0
76,122,10,0,1.43,0
76,124,11,0,1.43,0
76,127,12,0,1.43,0
76,128,13,0,1.43,0
76,129,14,0,0.88,KB
76,130,15,0,1.43,0
76,136,16,0,1.47,0
76,140,17,0,1.47,0
76,146,18,0,1.47,0
76,148,19,0,1.47,0
76,150,20,0,1.42,0
76,153,21,0,1.47,0
76,154,22,0,1.47,0
77,137,1,0,1.47,0
78,47,1,0,0.98,KB
78,53,2,0,1.43,0
78,57,3,0,1.43,0
78,59,4,0,1.21,0
78,76,5,0,1.43,0
79,70,1,0,1.21,0
79,88,2,0,1.43,0
80,122,1,0,1.43,0
80,126,2,0,1.43,0
80,131,3,0,1.47,0
80,141,4,0,1.47,0
80,143,5,0,1.47,0
81,7,1,0,1.43,KB
81,12,2,0,1.43,KB
81,31,3,0,1.43,KB
81,45,4,0,0.89,0
81,64,5,0,1.43,0
81,70,6,0,1.21,0
81,74,7,0,1.43,0
