Country,Region,EPI,Population_2022,GDP_PC,GHS_Index,Life_Expectancy,Air,Water,Ecosystem,Climate,Env_Health,BHI,Biocapacity_PC,FC_PC
Bulgaria,Eastern Europe,51.9,6781953,11835.98875,59.9,71.528,28.6,68.4,58,49.8,43.2,60.2,3.3,0.013123064
Burkina Faso,Sub-Saharan Africa,35.5,22673762,870.5046438,29.8,59.766,26.1,7.8,49.6,27.6,20.9,28.5,0.89,0.000970285
Burundi,Sub-Saharan Africa,30.5,12889576,225.1454498,22.1,61.977,30.7,5.4,35.5,29.4,22,39.5,0.36,0.000116373
Cambodia,Asia-Pacific,30.1,16767842,1607.902861,31.1,69.896,25.9,34.3,37.5,23.3,27.6,35.8,1.07,0.002325881
Cameroon,Sub-Saharan Africa,30.2,27914536,1620.611336,28.6,60.958,13.2,7.8,33,35.4,14.3,56.6,1.6,0.003504592
Canada,Global West,56.3,38454327,51769.50853,69.8,82.847,88,88.1,52.5,28.2,85.9,78.6,14.98,0.002062187
Central African Republic,Sub-Saharan Africa,31.2,5579144,451.0545523,18.6,54.477,19,0,55.9,49.5,13.1,63.5,7.52,0.004537717
Chad,Sub-Saharan Africa,28.1,17723315,664.6601272,23.9,52.997,24.3,0,42.3,18.5,16.7,52.2,1.78,0.00112413
Chile,Latin America & Caribbean,46.7,19603733,16173.37416,56.2,79.519,48.4,68.1,51.2,35.8,58,64.5,3.41,0.017211008
China,Asia-Pacific,28.4,1425887337,12437.21168,47.5,78.587,20.6,59.5,24.5,30.4,32.8,43.7,0.92,0.008240483
Colombia,Latin America & Caribbean,42.4,51874024,6059.342017,53.2,73.659,44,55.9,49.6,30.2,50.3,55.8,3.6,0.006650728
Comoros,Sub-Saharan Africa,42.5,836774,1587.004674,24.9,63.68,38.4,15.2,49.1,41.2,31.1,50.1,0.33,0.001553586
Costa Rica,Latin America & Caribbean,46.3,5180829,12407.75148,40.8,77.32,51.4,66.2,46.4,41.5,55.4,41.3,1.51,0.010423042
Croatia,Eastern Europe,60.2,4030358,16831.70293,48.8,79.236,45.8,70.3,65.6,56.6,55.7,54.8,2.99,0.015842265
Cuba,Latin America & Caribbean,47.5,11212191,9574.578243,30.5,70.456,50.6,49.7,35.1,61.1,47.9,38.1,0.78,0.016053954
Cyprus,Eastern Europe,58,1251488,22149.10384,41.9,81.889,68.3,94,54.2,53.8,73.8,56.3,0.24,0.001225208
